dataset_id,dataset_version,regime,seed,split,n,n_real,n_fake,fake_ratio,mean_chars,median_chars,mean_words,median_words
DS1,vBIN,full,,full,72134,35028,37106,0.514404,3345.209,2499.0,552.724,410.0
DS1,vDEDUP,full,,full,62455,34443,28012,0.448515,2266.284,1736.0,318.434,244.0
DS1,vDEDUP,S-RAND,13,train,43718,24110,19608,0.448511,2257.383,1731.0,317.093,244.0
DS1,vDEDUP,S-RAND,13,val,9368,5166,4202,0.448548,2268.661,1760.0,318.772,247.0
DS1,vDEDUP,S-RAND,13,test,9369,5167,4202,0.4485,2305.441,1739.0,324.354,245.0
DS1,vBIN,S-RAND,13,train,43718,24110,19608,0.448511,3301.441,2509.0,546.246,411.0
DS1,vBIN,S-RAND,13,val,9368,5166,4202,0.448548,3313.923,2550.0,548.311,416.0
DS1,vBIN,S-RAND,13,test,9369,5167,4202,0.4485,3370.22,2528.0,557.747,413.0
DS1,vDEDUP,S-RAND,21,train,43718,24110,19608,0.448511,2274.819,1740.0,319.62,245.0
DS1,vDEDUP,S-RAND,21,val,9368,5166,4202,0.448548,2263.62,1731.0,318.152,244.0
DS1,vDEDUP,S-RAND,21,test,9369,5167,4202,0.4485,2229.123,1726.0,313.182,243.0
DS1,vBIN,S-RAND,21,train,43718,24110,19608,0.448511,3325.347,2525.0,550.101,413.0
DS1,vBIN,S-RAND,21,val,9368,5166,4202,0.448548,3309.96,2506.0,548.039,412.0
DS1,vBIN,S-RAND,21,test,9369,5167,4202,0.4485,3262.629,2499.0,540.031,409.0
DS1,vDEDUP,S-RAND,42,train,43718,24110,19608,0.448511,2260.042,1735.0,317.513,244.0
DS1,vDEDUP,S-RAND,42,val,9368,5166,4202,0.448548,2269.22,1736.0,318.839,244.0
DS1,vDEDUP,S-RAND,42,test,9369,5167,4202,0.4485,2292.477,1747.0,322.327,246.0
DS1,vBIN,S-RAND,42,train,43718,24110,19608,0.448511,3304.488,2515.0,546.682,412.0
DS1,vBIN,S-RAND,42,val,9368,5166,4202,0.448548,3321.397,2517.0,549.85,412.0
DS1,vBIN,S-RAND,42,test,9369,5167,4202,0.4485,3348.528,2534.0,554.175,413.0
DS1,vDEDUP,S-RAND,87,train,43718,24110,19608,0.448511,2251.912,1733.0,316.34,244.0
DS1,vDEDUP,S-RAND,87,val,9368,5166,4202,0.448548,2273.891,1742.5,319.624,245.0
DS1,vDEDUP,S-RAND,87,test,9369,5167,4202,0.4485,2325.74,1751.0,327.013,247.0
DS1,vBIN,S-RAND,87,train,43718,24110,19608,0.448511,3290.89,2514.5,544.359,411.0
DS1,vBIN,S-RAND,87,val,9368,5166,4202,0.448548,3324.321,2529.0,550.296,415.0
DS1,vBIN,S-RAND,87,test,9369,5167,4202,0.4485,3409.055,2528.0,564.567,414.0
DS1,vDEDUP,S-RAND,100,train,43718,24110,19608,0.448511,2265.273,1738.0,318.302,245.0
DS1,vDEDUP,S-RAND,100,val,9368,5166,4202,0.448548,2282.196,1743.0,320.764,244.0
DS1,vDEDUP,S-RAND,100,test,9369,5167,4202,0.4485,2255.093,1724.0,316.72,242.0
DS1,vBIN,S-RAND,100,train,43718,24110,19608,0.448511,3313.475,2523.0,548.337,413.0
DS1,vBIN,S-RAND,100,val,9368,5166,4202,0.448548,3329.733,2517.5,550.641,413.0
DS1,vBIN,S-RAND,100,test,9369,5167,4202,0.4485,3298.255,2495.0,545.66,409.0
DS2,vBIN,full,,full,44898,21417,23481,0.522985,2549.208,2268.0,417.736,375.0
DS2,vDEDUP,full,,full,38704,20868,17836,0.460831,1734.201,1569.0,242.866,221.0
DS2,vDEDUP,S-RAND,13,train,27092,14607,12485,0.460837,1735.501,1569.0,242.988,221.0
DS2,vDEDUP,S-RAND,13,val,5806,3130,2676,0.460903,1739.173,1569.0,243.795,221.0
